Local authority,Library name,Month,Type,Loans
Barnet,Customer Services Organisation,2019-08,Children's fiction,319
Barnet,Customer Services Organisation,2019-08,Children's non fiction,18
Barnet,Customer Services Organisation,2019-08,Compact disc,3
Barnet,Customer Services Organisation,2019-08,DVD certificate 15,3
Barnet,Customer Services Organisation,2019-08,Large print adult fiction,3
Barnet,Customer Services Organisation,2019-08,Large print adult non fiction,1
Barnet,Customer Services Organisation,2019-08,Music score,1
Barnet,Customer Services Organisation,2019-08,Teenage fiction,17
Barnet,Early Years Team,2019-08,Adult non fiction,1
Barnet,East Finchley,2019-08,Adult audiobook,52
Barnet,East Finchley,2019-08,Adult fiction,798
Barnet,East Finchley,2019-08,Adult non fiction,700
Barnet,East Finchley,2019-08,Children's fiction,1757
Barnet,East Finchley,2019-08,Children's non fiction,262
Barnet,East Finchley,2019-08,Compact disc,90
Barnet,East Finchley,2019-08,DVD certificate 12,12
Barnet,East Finchley,2019-08,DVD certificate 15,7
Barnet,East Finchley,2019-08,DVD certificate U,27
Barnet,East Finchley,2019-08,Language learning,1
Barnet,East Finchley,2019-08,Large print adult fiction,1
Barnet,East Finchley,2019-08,Music score,11
Barnet,East Finchley,2019-08,Teenage fiction,102
Barnet,East Finchley,2019-08,Teenage non fiction,77
Barnet,Edgware,2019-08,Adult audiobook,46
Barnet,Edgware,2019-08,Adult fiction,2617
Barnet,Edgware,2019-08,Adult non fiction,1379
Barnet,Edgware,2019-08,Children's audiobook,3
Barnet,Edgware,2019-08,Children's fiction,4707
Barnet,Edgware,2019-08,Children's non fiction,413
Barnet,Edgware,2019-08,Compact disc,13
Barnet,Edgware,2019-08,DVD certificate 12,6
Barnet,Edgware,2019-08,DVD certificate 15,15
Barnet,Edgware,2019-08,DVD certificate 18+,1
Barnet,Edgware,2019-08,DVD certificate PG,2
Barnet,Edgware,2019-08,DVD certificate U,26
Barnet,Edgware,2019-08,Electronic devices,2
Barnet,Edgware,2019-08,Language learning,8
Barnet,Edgware,2019-08,Large print adult fiction,60
Barnet,Edgware,2019-08,Large print adult non fiction,5
Barnet,Edgware,2019-08,Large print children's fiction,21
Barnet,Edgware,2019-08,Music score,30
Barnet,Edgware,2019-08,Teenage fiction,531
Barnet,Edgware,2019-08,Teenage non fiction,73
Barnet,Edgware,2019-08,Vocal score sets,162
Barnet,Finchley Church End,2019-08,Adult audiobook,74
Barnet,Finchley Church End,2019-08,Adult fiction,2916
Barnet,Finchley Church End,2019-08,Adult non fiction,1895
Barnet,Finchley Church End,2019-08,Adult reference,1
Barnet,Finchley Church End,2019-08,Children's audiobook,7
Barnet,Finchley Church End,2019-08,Children's fiction,5443
Barnet,Finchley Church End,2019-08,Children's non fiction,657
Barnet,Finchley Church End,2019-08,Compact disc,19
Barnet,Finchley Church End,2019-08,DVD certificate 12,21
Barnet,Finchley Church End,2019-08,DVD certificate 15,12
Barnet,Finchley Church End,2019-08,DVD certificate 18+,2
Barnet,Finchley Church End,2019-08,DVD certificate PG,6
Barnet,Finchley Church End,2019-08,DVD certificate U,25
Barnet,Finchley Church End,2019-08,Electronic devices,2
Barnet,Finchley Church End,2019-08,Language learning,7
Barnet,Finchley Church End,2019-08,Large print adult fiction,82
Barnet,Finchley Church End,2019-08,Large print adult non fiction,4
Barnet,Finchley Church End,2019-08,Large print children's fiction,1
Barnet,Finchley Church End,2019-08,Music score,81
Barnet,Finchley Church End,2019-08,Playset,32
Barnet,Finchley Church End,2019-08,Teenage fiction,520
Barnet,Finchley Church End,2019-08,Teenage non fiction,77
Barnet,Golders Green,2019-08,Adult audiobook,17
Barnet,Golders Green,2019-08,Adult fiction,1666
Barnet,Golders Green,2019-08,Adult non fiction,819
Barnet,Golders Green,2019-08,Children's audiobook,4
Barnet,Golders Green,2019-08,Children's fiction,4195
Barnet,Golders Green,2019-08,Children's non fiction,258
Barnet,Golders Green,2019-08,Compact disc,4
Barnet,Golders Green,2019-08,DVD certificate 12,6
Barnet,Golders Green,2019-08,DVD certificate 15,7
Barnet,Golders Green,2019-08,DVD certificate PG,14
Barnet,Golders Green,2019-08,DVD certificate U,35
Barnet,Golders Green,2019-08,DVD certificate exempt,1
Barnet,Golders Green,2019-08,Large print adult fiction,37
Barnet,Golders Green,2019-08,Large print adult non fiction,2
Barnet,Golders Green,2019-08,Large print children's fiction,1
Barnet,Golders Green,2019-08,Music score,2
Barnet,Golders Green,2019-08,Teenage fiction,411
Barnet,Golders Green,2019-08,Teenage non fiction,41
Barnet,Hendon,2019-08,Adult audiobook,21
Barnet,Hendon,2019-08,Adult fiction,1377
Barnet,Hendon,2019-08,Adult non fiction,912
Barnet,Hendon,2019-08,Children's fiction,2746
Barnet,Hendon,2019-08,Children's non fiction,145
Barnet,Hendon,2019-08,DVD certificate 12,13
Barnet,Hendon,2019-08,DVD certificate 15,3
Barnet,Hendon,2019-08,DVD certificate PG,3
Barnet,Hendon,2019-08,DVD certificate U,36
Barnet,Hendon,2019-08,Electronic devices,1
Barnet,Hendon,2019-08,Language learning,5
Barnet,Hendon,2019-08,Large print adult fiction,22
Barnet,Hendon,2019-08,Large print adult non fiction,4
Barnet,Hendon,2019-08,Large print children's fiction,3
Barnet,Hendon,2019-08,Music score,3
Barnet,Hendon,2019-08,SLS Fiction,1
Barnet,Hendon,2019-08,Teenage fiction,210
Barnet,Hendon,2019-08,Teenage non fiction,32
Barnet,Home Library Service,2019-08,Adult audiobook,229
Barnet,Home Library Service,2019-08,Adult fiction,509
Barnet,Home Library Service,2019-08,Adult non fiction,183
Barnet,Home Library Service,2019-08,Barnet Book Club,2
Barnet,Home Library Service,2019-08,Children's audiobook,1
Barnet,Home Library Service,2019-08,Children's fiction,59
Barnet,Home Library Service,2019-08,Children's non fiction,5
Barnet,Home Library Service,2019-08,Compact disc,35
Barnet,Home Library Service,2019-08,DVD certificate 12,3
Barnet,Home Library Service,2019-08,DVD certificate 15,3
Barnet,Home Library Service,2019-08,DVD certificate U,2
Barnet,Home Library Service,2019-08,Large print adult fiction,1131
Barnet,Home Library Service,2019-08,Large print adult non fiction,35
Barnet,Home Library Service,2019-08,Teenage fiction,4
Barnet,Mill Hill,2019-08,Adult audiobook,6
Barnet,Mill Hill,2019-08,Adult fiction,479
Barnet,Mill Hill,2019-08,Adult non fiction,316
Barnet,Mill Hill,2019-08,Children's fiction,1866
Barnet,Mill Hill,2019-08,Children's non fiction,200
Barnet,Mill Hill,2019-08,DVD certificate PG,6
Barnet,Mill Hill,2019-08,DVD certificate U,16
Barnet,Mill Hill,2019-08,Language learning,1
Barnet,Mill Hill,2019-08,Large print adult fiction,22
Barnet,Mill Hill,2019-08,Large print adult non fiction,3
Barnet,Mill Hill,2019-08,Playset,1
Barnet,Mill Hill,2019-08,Teenage fiction,73
Barnet,Mill Hill,2019-08,Teenage non fiction,6
Barnet,Mobile Library,2019-08,Adult audiobook,2
Barnet,Mobile Library,2019-08,Adult fiction,191
Barnet,Mobile Library,2019-08,Adult non fiction,71
Barnet,Mobile Library,2019-08,Adult reference,1
Barnet,Mobile Library,2019-08,Children's fiction,324
Barnet,Mobile Library,2019-08,Children's non fiction,17
Barnet,Mobile Library,2019-08,Large print adult fiction,34
Barnet,Mobile Library,2019-08,Teenage fiction,39
Barnet,New Barnet library,2019-08,Adult audiobook,33
Barnet,New Barnet library,2019-08,Adult fiction,761
Barnet,New Barnet library,2019-08,Adult non fiction,412
Barnet,New Barnet library,2019-08,Adult reference,1
Barnet,New Barnet library,2019-08,Children's fiction,1592
Barnet,New Barnet library,2019-08,Children's non fiction,110
Barnet,New Barnet library,2019-08,Compact disc,4
Barnet,New Barnet library,2019-08,DVD certificate 12,4
Barnet,New Barnet library,2019-08,DVD certificate 15,2
Barnet,New Barnet library,2019-08,DVD certificate PG,5
Barnet,New Barnet library,2019-08,DVD certificate U,13
Barnet,New Barnet library,2019-08,Language learning,1
Barnet,New Barnet library,2019-08,Large print adult fiction,29
Barnet,New Barnet library,2019-08,Large print adult non fiction,10
Barnet,New Barnet library,2019-08,Music score,1
Barnet,New Barnet library,2019-08,Teenage fiction,38
Barnet,New Barnet library,2019-08,Teenage non fiction,38
Barnet,North Finchley,2019-08,Adult audiobook,45
Barnet,North Finchley,2019-08,Adult fiction,1598
Barnet,North Finchley,2019-08,Adult non fiction,1114
Barnet,North Finchley,2019-08,British library ILL,1
Barnet,North Finchley,2019-08,Children's audiobook,1
Barnet,North Finchley,2019-08,Children's fiction,3655
Barnet,North Finchley,2019-08,Children's non fiction,298
Barnet,North Finchley,2019-08,Compact disc,21
Barnet,North Finchley,2019-08,DVD certificate 12,12
Barnet,North Finchley,2019-08,DVD certificate 15,5
Barnet,North Finchley,2019-08,DVD certificate 18+,1
Barnet,North Finchley,2019-08,DVD certificate PG,1
Barnet,North Finchley,2019-08,DVD certificate U,15
Barnet,North Finchley,2019-08,Electronic devices,8
Barnet,North Finchley,2019-08,Language learning,2
Barnet,North Finchley,2019-08,Large print adult fiction,45
Barnet,North Finchley,2019-08,Large print adult non fiction,5
Barnet,North Finchley,2019-08,Large print children's fiction,3
Barnet,North Finchley,2019-08,Music score,9
Barnet,North Finchley,2019-08,Teenage fiction,191
Barnet,North Finchley,2019-08,Teenage non fiction,58
Barnet,Online,2019-08,eaudio,2279
Barnet,Online,2019-08,ebooks,4039
Barnet,Online,2019-08,ecomics,51
Barnet,Online,2019-08,emagazines and enewspapers,12188
Barnet,Osidge,2019-08,Adult audiobook,68
Barnet,Osidge,2019-08,Adult fiction,870
Barnet,Osidge,2019-08,Adult non fiction,571
Barnet,Osidge,2019-08,Barnet Book Club,18
Barnet,Osidge,2019-08,Children's audiobook,3
Barnet,Osidge,2019-08,Children's fiction,1927
Barnet,Osidge,2019-08,Children's non fiction,173
Barnet,Osidge,2019-08,Compact disc,1
Barnet,Osidge,2019-08,DVD certificate 12,2
Barnet,Osidge,2019-08,DVD certificate 15,2
Barnet,Osidge,2019-08,DVD certificate PG,9
Barnet,Osidge,2019-08,DVD certificate U,5
Barnet,Osidge,2019-08,Language learning,1
Barnet,Osidge,2019-08,Large print adult fiction,17
Barnet,Osidge,2019-08,Music score,14
Barnet,Osidge,2019-08,Teenage fiction,159
Barnet,Osidge,2019-08,Teenage non fiction,16
Barnet,Schools Library Resources Service,2019-08,Adult fiction,3
Barnet,Schools Library Resources Service,2019-08,Children's fiction,5
Barnet,Schools Library Resources Service,2019-08,SLS Artefact,113
Barnet,Schools Library Resources Service,2019-08,SLS CD,3
Barnet,Schools Library Resources Service,2019-08,SLS DVD,34
Barnet,Schools Library Resources Service,2019-08,SLS Fiction,2752
Barnet,Schools Library Resources Service,2019-08,SLS Map,4
Barnet,Schools Library Resources Service,2019-08,SLS Non Fiction,9143
Barnet,Schools Library Resources Service,2019-08,SLS Picture,159
Barnet,Schools Library Resources Service,2019-08,SLS Poster,67
Barnet,Schools Library Resources Service,2019-08,SLS Resource Pack,10
Barnet,Schools Library Resources Service,2019-08,Teenage non fiction,1
Barnet,South Friern,2019-08,Adult audiobook,7
Barnet,South Friern,2019-08,Adult fiction,294
Barnet,South Friern,2019-08,Adult non fiction,155
Barnet,South Friern,2019-08,Adult reference,2
Barnet,South Friern,2019-08,Children's fiction,824
Barnet,South Friern,2019-08,Children's non fiction,103
Barnet,South Friern,2019-08,Compact disc,1
Barnet,South Friern,2019-08,DVD certificate 12,3
Barnet,South Friern,2019-08,DVD certificate 18+,1
Barnet,South Friern,2019-08,DVD certificate PG,1
Barnet,South Friern,2019-08,DVD certificate U,6
Barnet,South Friern,2019-08,Language learning,2
Barnet,South Friern,2019-08,Large print adult fiction,9
Barnet,South Friern,2019-08,Teenage fiction,39
Barnet,South Friern,2019-08,Teenage non fiction,5
Barnet,Barnet Book Club,2019-09,Adult fiction,25
Barnet,Barnet Book Club,2019-09,Adult non fiction,7
Barnet,Barnet Book Club,2019-09,Barnet Book Club,267
Barnet,Barnet Book Club,2019-09,Children's fiction,22
Barnet,Barnet Book Club,2019-09,Children's non fiction,1
Barnet,Barnet Book Club,2019-09,Playset,5
Barnet,Bibliographic Services,2019-09,Adult fiction,30
Barnet,Bibliographic Services,2019-09,Adult non fiction,30
Barnet,Bibliographic Services,2019-09,Children's fiction,6
Barnet,Bibliographic Services,2019-09,Children's non fiction,2
Barnet,Bibliographic Services,2019-09,Compact disc,4
Barnet,Bibliographic Services,2019-09,Teenage fiction,3
Barnet,Burnt Oak,2019-09,Adult audiobook,10
Barnet,Burnt Oak,2019-09,Adult fiction,281
Barnet,Burnt Oak,2019-09,Adult non fiction,309
Barnet,Burnt Oak,2019-09,Children's audiobook,1
Barnet,Burnt Oak,2019-09,Children's fiction,934
Barnet,Burnt Oak,2019-09,Children's non fiction,139
Barnet,Burnt Oak,2019-09,Compact disc,2
Barnet,Burnt Oak,2019-09,DVD certificate 12,5
Barnet,Burnt Oak,2019-09,DVD certificate 15,1
Barnet,Burnt Oak,2019-09,DVD certificate 18+,1
Barnet,Burnt Oak,2019-09,DVD certificate PG,2
Barnet,Burnt Oak,2019-09,DVD certificate U,12
Barnet,Burnt Oak,2019-09,Language learning,1
Barnet,Burnt Oak,2019-09,Large print adult fiction,13
Barnet,Burnt Oak,2019-09,Large print adult non fiction,2
Barnet,Burnt Oak,2019-09,Teenage fiction,52
Barnet,Burnt Oak,2019-09,Teenage non fiction,31
Barnet,Childs Hill,2019-09,Adult fiction,309
Barnet,Childs Hill,2019-09,Adult non fiction,158
Barnet,Childs Hill,2019-09,Children's fiction,723
Barnet,Childs Hill,2019-09,Children's non fiction,45
Barnet,Childs Hill,2019-09,Compact disc,11
Barnet,Childs Hill,2019-09,DVD certificate PG,2
Barnet,Childs Hill,2019-09,DVD certificate U,9
Barnet,Childs Hill,2019-09,Large print adult fiction,8
Barnet,Childs Hill,2019-09,Teenage fiction,34
Barnet,Childs Hill,2019-09,Teenage non fiction,18
Barnet,Chipping Barnet,2019-09,Adult audiobook,116
Barnet,Chipping Barnet,2019-09,Adult fiction,3622
Barnet,Chipping Barnet,2019-09,Adult non fiction,2434
Barnet,Chipping Barnet,2019-09,Adult reference,1
Barnet,Chipping Barnet,2019-09,Barnet Book Club,11
Barnet,Chipping Barnet,2019-09,Children's audiobook,7
Barnet,Chipping Barnet,2019-09,Children's fiction,5094
Barnet,Chipping Barnet,2019-09,Children's non fiction,625
Barnet,Chipping Barnet,2019-09,Compact disc,169
Barnet,Chipping Barnet,2019-09,DVD certificate 12,33
Barnet,Chipping Barnet,2019-09,DVD certificate 15,40
Barnet,Chipping Barnet,2019-09,DVD certificate 18+,5
Barnet,Chipping Barnet,2019-09,DVD certificate PG,9
Barnet,Chipping Barnet,2019-09,DVD certificate U,36
Barnet,Chipping Barnet,2019-09,Electronic devices,2
Barnet,Chipping Barnet,2019-09,Language learning,4
Barnet,Chipping Barnet,2019-09,Large print adult fiction,93
Barnet,Chipping Barnet,2019-09,Large print adult non fiction,18
Barnet,Chipping Barnet,2019-09,Large print children's fiction,1
Barnet,Chipping Barnet,2019-09,Music score,16
Barnet,Chipping Barnet,2019-09,Teenage fiction,379
Barnet,Chipping Barnet,2019-09,Teenage non fiction,197
Barnet,Colindale,2019-09,Adult audiobook,5
Barnet,Colindale,2019-09,Adult fiction,613
Barnet,Colindale,2019-09,Adult non fiction,593
Barnet,Colindale,2019-09,Children's fiction,2525
Barnet,Colindale,2019-09,Children's non fiction,335
Barnet,Colindale,2019-09,Compact disc,3
Barnet,Colindale,2019-09,DVD certificate 12,6
Barnet,Colindale,2019-09,DVD certificate 15,4
Barnet,Colindale,2019-09,DVD certificate 18+,2
Barnet,Colindale,2019-09,DVD certificate PG,4
Barnet,Colindale,2019-09,DVD certificate U,14
Barnet,Colindale,2019-09,Electronic devices,1
Barnet,Colindale,2019-09,Large print adult fiction,20
Barnet,Colindale,2019-09,Large print adult non fiction,3
Barnet,Colindale,2019-09,Music score,1
Barnet,Colindale,2019-09,Teenage fiction,161
Barnet,Colindale,2019-09,Teenage non fiction,96
Barnet,Customer Services Organisation,2019-09,Adult audiobook,3
Barnet,Customer Services Organisation,2019-09,Adult fiction,95
Barnet,Customer Services Organisation,2019-09,Adult non fiction,104
Barnet,Customer Services Organisation,2019-09,Children's fiction,79
Barnet,Customer Services Organisation,2019-09,Children's non fiction,5
Barnet,Customer Services Organisation,2019-09,Large print adult fiction,2
Barnet,Customer Services Organisation,2019-09,Teenage fiction,17
Barnet,Customer Services Organisation,2019-09,Teenage non fiction,1
Barnet,East Finchley,2019-09,Adult audiobook,29
Barnet,East Finchley,2019-09,Adult fiction,712
Barnet,East Finchley,2019-09,Adult non fiction,702
Barnet,East Finchley,2019-09,Children's audiobook,1
Barnet,East Finchley,2019-09,Children's fiction,2024
Barnet,East Finchley,2019-09,Children's non fiction,326
Barnet,East Finchley,2019-09,Compact disc,76
Barnet,East Finchley,2019-09,DVD certificate 12,10
Barnet,East Finchley,2019-09,DVD certificate 15,7
Barnet,East Finchley,2019-09,DVD certificate PG,1
Barnet,East Finchley,2019-09,DVD certificate U,9
Barnet,East Finchley,2019-09,Language learning,3
Barnet,East Finchley,2019-09,Large print adult fiction,1
Barnet,East Finchley,2019-09,Large print adult non fiction,1
Barnet,East Finchley,2019-09,Music score,7
Barnet,East Finchley,2019-09,Teenage fiction,107
Barnet,East Finchley,2019-09,Teenage non fiction,124
Barnet,Edgware,2019-09,Adult audiobook,65
Barnet,Edgware,2019-09,Adult fiction,2237
Barnet,Edgware,2019-09,Adult non fiction,1246
Barnet,Edgware,2019-09,Children's fiction,3848
Barnet,Edgware,2019-09,Children's non fiction,413
Barnet,Edgware,2019-09,Compact disc,25
Barnet,Edgware,2019-09,DVD certificate 12,17
Barnet,Edgware,2019-09,DVD certificate 15,10
Barnet,Edgware,2019-09,DVD certificate 18+,1
Barnet,Edgware,2019-09,DVD certificate PG,2
Barnet,Edgware,2019-09,DVD certificate U,22
Barnet,Edgware,2019-09,Electronic devices,3
Barnet,Edgware,2019-09,Language learning,4
Barnet,Edgware,2019-09,Large print adult fiction,45
Barnet,Edgware,2019-09,Large print adult non fiction,8
Barnet,Edgware,2019-09,Large print children's fiction,14
Barnet,Edgware,2019-09,Music score,6
Barnet,Edgware,2019-09,Playset,3
Barnet,Edgware,2019-09,Teenage fiction,397
Barnet,Edgware,2019-09,Teenage non fiction,55
Barnet,Finchley Church End,2019-09,Adult audiobook,61
Barnet,Finchley Church End,2019-09,Adult fiction,2877
Barnet,Finchley Church End,2019-09,Adult non fiction,1852
Barnet,Finchley Church End,2019-09,Adult reference,1
Barnet,Finchley Church End,2019-09,Children's audiobook,3
Barnet,Finchley Church End,2019-09,Children's fiction,5175
Barnet,Finchley Church End,2019-09,Children's non fiction,660
Barnet,Finchley Church End,2019-09,Children's reference,1
Barnet,Finchley Church End,2019-09,Compact disc,14
Barnet,Finchley Church End,2019-09,DVD certificate 12,19
Barnet,Finchley Church End,2019-09,DVD certificate 15,9
Barnet,Finchley Church End,2019-09,DVD certificate 18+,2
Barnet,Finchley Church End,2019-09,DVD certificate PG,6
Barnet,Finchley Church End,2019-09,DVD certificate U,24
Barnet,Finchley Church End,2019-09,Electronic devices,3
Barnet,Finchley Church End,2019-09,Language learning,10
Barnet,Finchley Church End,2019-09,Large print adult fiction,54
Barnet,Finchley Church End,2019-09,Large print adult non fiction,3
Barnet,Finchley Church End,2019-09,Large print children's fiction,1
Barnet,Finchley Church End,2019-09,Music score,23
Barnet,Finchley Church End,2019-09,Playset,12
Barnet,Finchley Church End,2019-09,Teenage fiction,491
Barnet,Finchley Church End,2019-09,Teenage non fiction,107
Barnet,Golders Green,2019-09,Adult audiobook,18
Barnet,Golders Green,2019-09,Adult fiction,1425
Barnet,Golders Green,2019-09,Adult non fiction,680
Barnet,Golders Green,2019-09,Children's fiction,3181
Barnet,Golders Green,2019-09,Children's non fiction,206
Barnet,Golders Green,2019-09,Compact disc,10
Barnet,Golders Green,2019-09,DVD certificate 12,13
Barnet,Golders Green,2019-09,DVD certificate 15,11
Barnet,Golders Green,2019-09,DVD certificate 18+,2
Barnet,Golders Green,2019-09,DVD certificate PG,3
Barnet,Golders Green,2019-09,DVD certificate U,17
Barnet,Golders Green,2019-09,Large print adult fiction,49
Barnet,Golders Green,2019-09,Large print adult non fiction,3
Barnet,Golders Green,2019-09,Large print children's fiction,2
Barnet,Golders Green,2019-09,Music score,1
Barnet,Golders Green,2019-09,Teenage fiction,307
Barnet,Golders Green,2019-09,Teenage non fiction,26
Barnet,Hendon,2019-09,Adult audiobook,16
Barnet,Hendon,2019-09,Adult fiction,1220
Barnet,Hendon,2019-09,Adult non fiction,839
Barnet,Hendon,2019-09,Children's fiction,2615
Barnet,Hendon,2019-09,Children's non fiction,296
Barnet,Hendon,2019-09,DVD certificate 12,7
Barnet,Hendon,2019-09,DVD certificate 15,2
Barnet,Hendon,2019-09,DVD certificate PG,5
Barnet,Hendon,2019-09,DVD certificate U,9
Barnet,Hendon,2019-09,Electronic devices,1
Barnet,Hendon,2019-09,Language learning,4
Barnet,Hendon,2019-09,Large print adult fiction,25
Barnet,Hendon,2019-09,Large print adult non fiction,3
Barnet,Hendon,2019-09,Large print children's fiction,3
Barnet,Hendon,2019-09,Music score,3
Barnet,Hendon,2019-09,SLS Fiction,2
Barnet,Hendon,2019-09,Teenage fiction,260
Barnet,Hendon,2019-09,Teenage non fiction,73
Barnet,Home Library Service,2019-09,Adult audiobook,162
Barnet,Home Library Service,2019-09,Adult fiction,508
Barnet,Home Library Service,2019-09,Adult non fiction,197
Barnet,Home Library Service,2019-09,Barnet Book Club,2
Barnet,Home Library Service,2019-09,Children's fiction,36
Barnet,Home Library Service,2019-09,Compact disc,46
Barnet,Home Library Service,2019-09,DVD certificate 12,4
Barnet,Home Library Service,2019-09,DVD certificate 15,9
Barnet,Home Library Service,2019-09,DVD certificate PG,2
Barnet,Home Library Service,2019-09,DVD certificate U,3
Barnet,Home Library Service,2019-09,Large print adult fiction,820
Barnet,Home Library Service,2019-09,Large print adult non fiction,35
Barnet,Home Library Service,2019-09,Teenage fiction,4
Barnet,Mill Hill,2019-09,Adult audiobook,10
Barnet,Mill Hill,2019-09,Adult fiction,450
Barnet,Mill Hill,2019-09,Adult non fiction,391
Barnet,Mill Hill,2019-09,Adult reference,1
Barnet,Mill Hill,2019-09,Barnet Book Club,1
Barnet,Mill Hill,2019-09,Children's fiction,1369
Barnet,Mill Hill,2019-09,Children's non fiction,211
Barnet,Mill Hill,2019-09,DVD certificate 12,2
Barnet,Mill Hill,2019-09,DVD certificate PG,3
Barnet,Mill Hill,2019-09,DVD certificate U,4
Barnet,Mill Hill,2019-09,Electronic devices,2
Barnet,Mill Hill,2019-09,Large print adult fiction,17
Barnet,Mill Hill,2019-09,Large print adult non fiction,2
Barnet,Mill Hill,2019-09,Teenage fiction,32
Barnet,Mill Hill,2019-09,Teenage non fiction,16
Barnet,Mobile Library,2019-09,Adult audiobook,3
Barnet,Mobile Library,2019-09,Adult fiction,180
Barnet,Mobile Library,2019-09,Adult non fiction,95
Barnet,Mobile Library,2019-09,Children's fiction,619
Barnet,Mobile Library,2019-09,Children's non fiction,33
Barnet,Mobile Library,2019-09,Compact disc,28
Barnet,Mobile Library,2019-09,DVD certificate PG,1
Barnet,Mobile Library,2019-09,DVD certificate U,4
Barnet,Mobile Library,2019-09,Large print adult fiction,21
Barnet,Mobile Library,2019-09,Teenage fiction,20
Barnet,New Barnet library,2019-09,Adult audiobook,6
Barnet,New Barnet library,2019-09,Adult fiction,125
Barnet,New Barnet library,2019-09,Adult non fiction,78
Barnet,New Barnet library,2019-09,Children's fiction,387
Barnet,New Barnet library,2019-09,Children's non fiction,59
Barnet,New Barnet library,2019-09,DVD certificate 12,2
Barnet,New Barnet library,2019-09,DVD certificate 15,1
Barnet,New Barnet library,2019-09,DVD certificate U,6
Barnet,New Barnet library,2019-09,Large print adult fiction,4
Barnet,New Barnet library,2019-09,Teenage fiction,20
Barnet,New Barnet library,2019-09,Teenage non fiction,3
Barnet,North Finchley,2019-09,Adult audiobook,20
Barnet,North Finchley,2019-09,Adult fiction,1617
Barnet,North Finchley,2019-09,Adult non fiction,1023
Barnet,North Finchley,2019-09,Children's audiobook,1
Barnet,North Finchley,2019-09,Children's fiction,3168
Barnet,North Finchley,2019-09,Children's non fiction,397
Barnet,North Finchley,2019-09,Compact disc,21
Barnet,North Finchley,2019-09,DVD certificate 12,12
Barnet,North Finchley,2019-09,DVD certificate 15,9
Barnet,North Finchley,2019-09,DVD certificate PG,1
Barnet,North Finchley,2019-09,DVD certificate U,9
Barnet,North Finchley,2019-09,Electronic devices,6
Barnet,North Finchley,2019-09,Language learning,2
Barnet,North Finchley,2019-09,Large print adult fiction,27
Barnet,North Finchley,2019-09,Large print adult non fiction,6
Barnet,North Finchley,2019-09,Large print children's fiction,2
Barnet,North Finchley,2019-09,Music score,10
Barnet,North Finchley,2019-09,Teenage fiction,184
Barnet,North Finchley,2019-09,Teenage non fiction,36
Barnet,Online,2019-09,eaudio,2084
Barnet,Online,2019-09,ebooks,3678
Barnet,Online,2019-09,ecomics,85
Barnet,Online,2019-09,emagazines and enewspapers,11891
Barnet,Osidge,2019-09,Adult audiobook,73
Barnet,Osidge,2019-09,Adult fiction,813
Barnet,Osidge,2019-09,Adult non fiction,551
Barnet,Osidge,2019-09,Barnet Book Club,3
Barnet,Osidge,2019-09,Children's fiction,1791
Barnet,Osidge,2019-09,Children's non fiction,193
Barnet,Osidge,2019-09,Compact disc,4
Barnet,Osidge,2019-09,DVD certificate 12,1
Barnet,Osidge,2019-09,DVD certificate 15,3
Barnet,Osidge,2019-09,DVD certificate PG,3
Barnet,Osidge,2019-09,DVD certificate U,11
Barnet,Osidge,2019-09,Large print adult fiction,60
Barnet,Osidge,2019-09,Music score,2
Barnet,Osidge,2019-09,Teenage fiction,123
Barnet,Osidge,2019-09,Teenage non fiction,60
Barnet,Schools Library Resources Service,2019-09,Children's fiction,1
Barnet,Schools Library Resources Service,2019-09,SLS Artefact,3
Barnet,Schools Library Resources Service,2019-09,SLS DVD,10
Barnet,Schools Library Resources Service,2019-09,SLS Fiction,348
Barnet,Schools Library Resources Service,2019-09,SLS Map,4
Barnet,Schools Library Resources Service,2019-09,SLS Non Fiction,1411
Barnet,Schools Library Resources Service,2019-09,SLS Picture,45
Barnet,Schools Library Resources Service,2019-09,SLS Poster,9
Barnet,South Friern,2019-09,Adult audiobook,2
Barnet,South Friern,2019-09,Adult fiction,204
Barnet,South Friern,2019-09,Adult non fiction,128
Barnet,South Friern,2019-09,Barnet Book Club,1
Barnet,South Friern,2019-09,Children's fiction,844
Barnet,South Friern,2019-09,Children's non fiction,152
Barnet,South Friern,2019-09,Compact disc,5
Barnet,South Friern,2019-09,DVD certificate PG,2
Barnet,South Friern,2019-09,DVD certificate U,7
Barnet,South Friern,2019-09,Language learning,3
Barnet,South Friern,2019-09,Large print adult fiction,6
Barnet,South Friern,2019-09,Large print adult non fiction,1
Barnet,South Friern,2019-09,Teenage fiction,35
Barnet,South Friern,2019-09,Teenage non fiction,4
Barnet,Barnet Book Club,2019-10,Adult fiction,28
Barnet,Barnet Book Club,2019-10,Adult non fiction,23
Barnet,Barnet Book Club,2019-10,Barnet Book Club,241
Barnet,Barnet Book Club,2019-10,Children's fiction,51
Barnet,Barnet Book Club,2019-10,Children's non fiction,4
Barnet,Barnet Book Club,2019-10,Large print adult fiction,2
Barnet,Barnet Book Club,2019-10,Teenage fiction,1
Barnet,Bibliographic Services,2019-10,Adult fiction,13
Barnet,Bibliographic Services,2019-10,Adult non fiction,26
Barnet,Bibliographic Services,2019-10,Children's fiction,10
Barnet,Bibliographic Services,2019-10,Children's non fiction,1
Barnet,Bibliographic Services,2019-10,DVD certificate 12,1
